source	target	weight	correlation
Marine_Methylotrophic_Group_2	OM182_clade	0.825174825174825	0.825174825174825
Marinimicrobia_(SAR406_clade)	Pseudohongiella	0.832167832167832	0.832167832167832
Marinimicrobia_(SAR406_clade)	BD2-11_terrestrial_group	0.839160839160839	0.839160839160839
Marinimicrobia_(SAR406_clade)	Alcanivorax	0.853146853146853	0.853146853146853
AEGEAN-169_marine_group	Emticicia	0.818181818181818	-0.818181818181818
SAR202_clade	Rheinheimera	0.804195804195804	-0.804195804195804
SAR202_clade	Brevundimonas	0.839160839160839	-0.839160839160839
SAR202_clade	Sphingomonas	0.811188811188811	-0.811188811188811
SAR202_clade	Candidatus_Endoecteinascidia	0.804195804195804	0.804195804195804
SAR202_clade	Aquabacterium	0.888111888111888	-0.888111888111888
SAR202_clade	Novosphingobium	0.804195804195804	-0.804195804195804
Clade_II	Marine_Group_II	0.811188811188811	0.811188811188811
Clade_II	Poribacteria	0.804195804195804	0.804195804195804
Clade_II	Clade_Ib	0.839160839160839	0.839160839160839
Clade_II	SAR11_clade	0.867132867132867	0.867132867132867
Clade_II	BD2-11_terrestrial_group	0.874125874125874	0.874125874125874
Clade_II	MB11C04_marine_group	0.853146853146853	0.853146853146853
Clade_II	NS7_marine_group	0.895104895104895	0.895104895104895
Nitrosopumilaceae	SAR324_clade(Marine_group_B)	0.902097902097902	0.902097902097902
Nitrosopumilaceae	Marine_Group_II	0.937062937062937	0.937062937062937
Nitrosopumilaceae	Arctic97B-4_marine_group	0.867132867132867	0.867132867132867
Nitrosopumilaceae	JL-ETNP-F27	0.888111888111888	0.888111888111888
Nitrosopumilaceae	SUP05_cluster	0.888111888111888	0.888111888111888
Nitrosopumilaceae	Marine_Group_III	0.853146853146853	0.853146853146853
Nitrosopumilaceae	UBA10353_marine_group	0.804195804195804	0.804195804195804
Nitrosopumilaceae	Candidatus_Nitrosotenuis	0.881118881118881	0.881118881118881
Nitrosopumilaceae	Candidatus_Nitrosopumilus	0.916083916083916	0.916083916083916
Nitrosopumilaceae	SAR11_clade	0.846153846153846	0.846153846153846
Nitrosopumilaceae	Marine_Benthic_Group_A	0.888111888111888	0.888111888111888
Nitrosopumilaceae	OCS116_clade	0.867132867132867	0.867132867132867
Nitrosopumilaceae	Moritella	0.811188811188811	0.811188811188811
SAR324_clade(Marine_group_B)	Marine_Group_II	0.853146853146853	0.853146853146853
SAR324_clade(Marine_group_B)	SUP05_cluster	0.804195804195804	0.804195804195804
SAR324_clade(Marine_group_B)	UBA10353_marine_group	0.832167832167832	0.832167832167832
SAR324_clade(Marine_group_B)	OCS116_clade	0.804195804195804	0.804195804195804
SAR324_clade(Marine_group_B)	PAUC26f	0.811188811188811	0.811188811188811
Marine_Group_II	Rheinheimera	0.839160839160839	-0.839160839160839
Marine_Group_II	JL-ETNP-F27	0.874125874125874	0.874125874125874
Marine_Group_II	Clade_Ib	0.818181818181818	0.818181818181818
Marine_Group_II	SUP05_cluster	0.818181818181818	0.818181818181818
Marine_Group_II	Marine_Group_III	0.867132867132867	0.867132867132867
Marine_Group_II	S25-593	0.86013986013986	0.86013986013986
Marine_Group_II	Comamonas	0.811188811188811	-0.811188811188811
Marine_Group_II	Candidatus_Nitrosopumilus	0.846153846153846	0.846153846153846
Marine_Group_II	Azospirillum	0.811188811188811	-0.811188811188811
Marine_Group_II	SAR11_clade	0.888111888111888	0.888111888111888
Marine_Group_II	Marine_Benthic_Group_A	0.923076923076923	0.923076923076923
Marine_Group_II	Zoogloea	0.811188811188811	-0.811188811188811
Arctic97B-4_marine_group	JL-ETNP-F27	0.937062937062937	0.937062937062937
Arctic97B-4_marine_group	SUP05_cluster	0.86013986013986	0.86013986013986
Arctic97B-4_marine_group	UBA10353_marine_group	0.825174825174825	0.825174825174825
Arctic97B-4_marine_group	Sva0996_marine_group	0.825174825174825	0.825174825174825
Arctic97B-4_marine_group	FS140-16B-02_marine_group	0.867132867132867	0.867132867132867
Arctic97B-4_marine_group	Candidatus_Nitrosotenuis	0.818181818181818	0.818181818181818
Arctic97B-4_marine_group	Candidatus_Nitrosopumilus	0.93006993006993	0.93006993006993
Arctic97B-4_marine_group	AT-s3-44	0.804195804195804	0.804195804195804
Arctic97B-4_marine_group	vadinHA49	0.881118881118881	0.881118881118881
Arctic97B-4_marine_group	KD3-93	0.825174825174825	0.825174825174825
Arctic97B-4_marine_group	Marine_Benthic_Group_A	0.867132867132867	0.867132867132867
Arctic97B-4_marine_group	Candidatus_Megaira	0.818181818181818	0.818181818181818
Arctic97B-4_marine_group	OCS116_clade	0.923076923076923	0.923076923076923
Arctic97B-4_marine_group	SGST604	0.881118881118881	0.881118881118881
Arctic97B-4_marine_group	Moritella	0.832167832167832	0.832167832167832
